rank_page,word,count_sum,count_mean,rank_page_count,article_count,current_page_count,node_size,first_appear
9,球菌,9,9.0,6,6,1,10.0,1
9,產品,13,13.0,8,12,1,15.0,1
9,胃酸,12,12.0,6,8,1,13.333333333333332,1
9,腸道,26,13.0,10,33,2,33.0,1
9,膳食纖維,6,6.0,5,5,1,10.0,1
9,菌數,11,5.5,6,13,2,21.666666666666664,1
9,菌株,18,6.0,9,20,3,22.22222222222222,1
9,菌種,23,11.5,9,26,2,28.88888888888889,1
9,調節,4,4.0,5,6,1,12.0,2
9,過敏,5,5.0,4,4,1,10.0,1
10,CP2305,10,10.0,1,1,1,10.0,10
10,FIT,10,10.0,1,1,1,10.0,10
10,LACTO,10,10.0,1,1,1,10.0,10
10,Lactobacillus,12,6.0,7,13,2,18.571428571428573,1
10,MONSTER,7,7.0,1,1,1,10.0,10
10,PCR,4,4.0,1,1,1,10.0,10
10,gasseri,6,6.0,1,1,1,10.0,10
10,pH,5,5.0,2,2,1,10.0,4
10,不適,6,6.0,2,2,1,10.0,1
10,乳糖,7,7.0,2,2,1,10.0,3
10,乳酸桿菌,7,7.0,4,4,1,10.0,3
10,乳酸菌,16,16.0,9,11,1,12.222222222222223,1
10,人體,8,8.0,6,7,1,11.666666666666668,1
10,促進,6,6.0,2,2,1,10.0,3
10,凝結,6,6.0,1,1,1,10.0,10
10,分泌,6,6.0,1,1,1,10.0,10
10,分解,5,5.0,1,1,1,10.0,10
10,包覆,5,5.0,1,1,1,10.0,10
10,反應,5,5.0,2,2,1,10.0,7
10,吃益生菌,5,5.0,5,9,1,18.0,1
10,嗜熱鏈球菌,4,4.0,2,2,1,10.0,3
10,嗜酸乳桿菌,4,4.0,4,4,1,10.0,1
10,團隊,4,4.0,1,1,1,10.0,10
10,基金,5,5.0,1,1,1,10.0,10
10,壞菌,4,4.0,4,4,1,10.0,1
10,大腸,4,4.0,1,1,1,10.0,10
10,好菌,10,10.0,7,12,1,17.142857142857142,1
10,專家,8,8.0,1,1,1,10.0,10
10,專訪,8,8.0,1,1,1,10.0,10
10,小腸,8,8.0,1,1,1,10.0,10
