rank_page,word,count_sum,count_mean,tfidf_mean,rank_article,rank_page_count,article_count,current_page_count,first_appear
1,症狀,4,4.0,0.007104841267463578,9,2,2,1,1
1,發揮,14,7.0,0.028630277546099675,9,1,2,2,1
1,發現,7,7.0,0.007711263515667021,9,5,5,1,1
1,發酵,12,12.0,0.055962725902856995,9,5,5,1,1
1,益伏敏,4,4.0,0.020838796470453697,9,1,1,1,1
1,益生菌,485,53.888888888888886,0.0072124491432437815,9,10,48,9,1
1,益生菌功效,14,14.0,0.04840157260943597,9,1,1,1,1
1,益生菌品牌,5,5.0,0.025269153329193158,9,1,1,1,1
1,益生菌好處,6,6.0,0.034250241629924565,9,1,1,1,1
1,益生菌推薦,37,9.25,0.033237303273299705,9,2,5,4,1
1,益生質,32,10.666666666666666,0.04002830923349823,9,4,7,3,1
1,益菌,8,4.0,0.022759079509334496,9,5,8,2,1
1,相關,18,9.0,0.006472739354913135,9,5,6,2,1
1,看到,4,4.0,0.0028573678142726033,9,2,2,1,1
1,真正,4,4.0,0.007550821716586506,9,2,2,1,1
1,知道,15,7.5,0.004667688330453158,9,1,2,2,1
1,研發,6,6.0,0.018860678065921944,9,1,1,1,1
1,研究,34,11.333333333333334,0.009270607918020738,9,6,17,3,1
1,私密,8,4.0,0.00581808739731425,9,3,4,2,1
1,私密保養,5,5.0,0.01486526182075808,9,1,1,1,1
1,第四代,5,5.0,0.016253406764447337,9,1,1,1,1
1,粉劑,8,8.0,0.025789456520777833,9,1,1,1,1
1,細菌,4,4.0,0.015622561439675747,9,4,6,1,1
1,維持,4,4.0,0.023415390984855868,9,3,4,1,1
1,維持消化道機能,8,8.0,0.021096531541721163,9,1,1,1,1
1,維生素,4,4.0,0.010430462757664393,9,3,3,1,1
1,編碼,10,10.0,0.05777923640790055,9,1,1,1,1
1,編號,5,5.0,0.011231895286445512,9,3,3,1,1
1,繁體,4,4.0,0.009530241632011278,9,2,2,1,1
1,纖維,4,4.0,0.006500137409973857,9,3,3,1,1
1,羊奶,5,5.0,0.02226810302803816,9,1,1,1,1
1,義美生醫,4,4.0,0.01188891907109618,9,1,1,1,1
1,老師,4,4.0,0.00885577361211213,9,1,1,1,1
1,耐酸,4,4.0,0.014511650629922504,9,3,3,1,1
1,耐酸耐鹼,6,6.0,0.02689320828996584,9,1,1,1,1
1,胃部,5,5.0,0.01156396903608475,9,1,1,1,1
1,胃酸,13,6.5,0.017774512701530715,9,7,9,2,1
1,脹氣,4,4.0,0.009800914994048678,9,1,1,1,1
1,腸內細菌,5,5.0,0.04564111598827731,9,1,1,1,1
1,腸胃,18,6.0,0.016966449091990434,9,3,5,3,1
1,腸胃益生菌推薦,5,5.0,0.019907870464030145,9,1,1,1,1
1,腸胃道,5,5.0,0.09921928117303556,9,2,2,1,1
1,腸道,72,14.4,0.050793263388914676,9,9,35,5,1
1,腸道保健,6,6.0,0.018895158660337138,9,1,1,1,1
1,腸道益生菌,6,6.0,0.017299612038726073,9,1,1,1,1
1,腹瀉,17,17.0,0.0384221591098172,9,3,4,1,1
1,膠原蛋白,5,5.0,0.013420212044551051,9,2,2,1,1
1,膳食纖維,14,14.0,0.027307565771513626,9,4,5,1,1
1,膽鹽,9,9.0,0.03722681345900262,9,2,2,1,1
1,自行,4,4.0,0.025252721454738197,9,1,1,1,1
1,菌叢,4,4.0,0.018567821943730304,9,3,3,1,1
1,菌數,35,17.5,0.061039732284406636,9,5,8,2,1
1,菌株,90,18.0,0.05423486801342896,9,8,18,5,1
1,菌種,108,18.0,0.08445317652795951,9,9,24,6,1
1,萃取,5,5.0,0.012491500326658059,9,2,2,1,1
1,蔓越,5,5.0,0.008075044372763147,9,1,1,1,1
1,藥品,8,8.0,0.053679882559175135,9,2,2,1,1
1,藥師,4,4.0,0.04175405740802908,9,2,2,1,1
1,藥物,4,4.0,0.05230219784594278,9,1,1,1,1
1,補充,17,8.5,0.014373276091088273,9,8,11,2,1
1,複合菌,4,4.0,0.01551473099280529,9,1,1,1,1
1,角色,5,5.0,0.006791131406171286,9,1,1,1,1
1,評價,6,6.0,0.008299450110514084,9,1,1,1,1
1,認證,6,6.0,0.02325410008226896,9,2,2,1,1
1,調整,40,10.0,0.02232718146165077,9,5,9,4,1
1,調節,6,6.0,0.041557132381643616,9,5,5,1,1
1,調節生理機能,4,4.0,0.012627643176484285,9,1,1,1,1
1,證實,4,4.0,0.010354564930863884,9,4,4,1,1
1,購買,11,5.5,0.01653517719540345,9,1,2,2,1
1,身心,9,9.0,0.01981350450336776,9,1,1,1,1
1,輔料,9,9.0,0.03712539902526873,9,1,1,1,1
1,輔菌,7,7.0,0.0436815894121312,9,1,1,1,1
1,過敏,9,9.0,0.014347949494928769,9,4,7,1,1
1,過敏性鼻炎,8,8.0,0.02491770501131964,9,2,2,1,1
1,過敏益生菌,4,4.0,0.014465894589651031,9,1,1,1,1
1,適合,23,5.75,0.01072904836091099,9,3,8,4,1
1,選擇,38,12.666666666666666,0.013445809191712848,9,5,8,3,1
1,配方,8,8.0,0.0052167564111405395,9,3,3,1,1
1,配方時代,6,6.0,0.03859107377823929,9,1,1,1,1
1,酵素,24,6.0,0.011553156813225614,9,4,8,4,1
1,酸奶,11,11.0,0.02626953963251122,9,1,1,1,1
1,醫學,5,5.0,0.011367244490639394,9,2,3,1,1
1,醫師,12,4.0,0.015040300164499745,9,3,5,3,1
1,醫療,4,4.0,0.017202996212006636,9,2,2,1,1
1,重要,8,4.0,0.0026018324738640943,9,3,5,2,1
1,針對,14,4.666666666666667,0.022821261863933778,9,2,4,3,1
1,開發,4,4.0,0.007555782496088495,9,2,2,1,1
1,關心,4,4.0,0.010410200567454387,9,1,1,1,1
1,關鍵,4,4.0,0.007198386520387759,9,1,1,1,1
1,防護力,8,8.0,0.09615502695760718,9,2,2,1,1
1,降低,9,4.5,0.00873382397910129,9,3,5,2,1
1,雷特氏B菌,10,10.0,0.034832603097200064,9,1,1,1,1
1,需求,8,8.0,0.0070827726080680215,9,2,2,1,1
1,需要,5,5.0,0.0038653954790064038,9,6,11,1,1
1,順暢,13,13.0,0.02610388298025669,9,2,2,1,1
1,類型,7,7.0,0.011503045781218843,9,1,1,1,1
1,顯示,5,5.0,0.006354632295350517,9,3,3,1,1
1,食品,7,7.0,0.011123948187138674,9,7,8,1,1
1,食物,25,6.25,0.00820256371564235,9,9,18,4,1
1,食用,32,6.4,0.010776795122425171,9,10,15,5,1
1,飲食,4,4.0,0.011437158203386606,9,7,8,1,1
1,體內,5,5.0,0.012152407425954106,9,4,4,1,1
1,體質,52,8.666666666666666,0.023349211184112522,9,6,11,6,1
1,高劑量,4,4.0,0.011435600448925142,9,1,1,1,1
1,魚油,8,8.0,0.02423339777641048,9,1,1,1,1
1,鳳梨,4,4.0,0.00753713502480247,9,2,2,1,1
1,鼠李糖乳桿菌,7,7.0,0.027396780755413838,9,4,4,1,1
1,龍根菌,15,15.0,0.04687350080414345,9,2,2,1,1
2,Lactobacillus,4,4.0,0.15900339644850134,4,9,13,1,1
